,주소,lat,lng
2458,서울특별시 강남구 학동로77길 27,37.5206607,127.0477525
2461,서울특별시 강남구 도산대로85길 50-14,37.5271163,127.0511754
2462,서울특별시 강남구 도산대로59길 25,37.5254698,127.042201
2465,서울특별시 강남구 삼성로133길 20,37.5194234,127.0478395
2467,서울특별시 강남구 도산대로83길 36,37.5266002,127.0490652
2468,서울특별시 강남구 학동로97길 51,37.52275,127.0536675
2470,서울특별시 강남구 학동로 609,37.5207989,127.0586969
2476,서울특별시 강남구 학동로73길 13,37.5234318,127.0491451
2486,서울특별시 강남구 도산대로85길 30,37.5263893,127.0496177
2490,서울특별시 강남구 영동대로142길 25,37.5250995,127.0553009
2492,서울특별시 강남구 학동로81길 28,37.5209274,127.0504381
2494,서울특별시 강남구 학동로 409,37.5179462,127.0440031
2497,서울특별시 강남구 영동대로138길 12,37.5235476,127.0574077
2512,서울특별시 강남구 선릉로190길 68,37.5286274,127.0470403
2514,서울특별시 강남구 도산대로101길 29,37.5268675,127.052836
2516,서울특별시 강남구 압구정로77길 42,37.5277263,127.0485983
2517,서울특별시 강남구 선릉로 748,37.5215094,127.0406181
2518,서울특별시 강남구 학동로87길 7,37.5193565,127.0515067
2520,서울특별시 강남구 압구정로75길 15,37.5267267,127.0470939
2521,서울특별시 강남구 도산대로 454,37.5236312,127.0460427
2523,서울특별시 강동구 고덕로97길 20,37.5599813,127.1806821
2530,서울특별시 강동구 아리수로93가길 25,37.5676238,127.1718764
2534,서울특별시 강동구 아리수로97길 68,37.5693167,127.1762261
2535,서울특별시 강동구 아리수로93길 40,37.5666483,127.1746289
2542,서울특별시 강동구 아리수로97길 19,37.5670963,127.176331
2544,서울특별시 강동구 아리수로97길 20,37.5674967,127.1780664
2549,서울특별시 강동구 아리수로94길 19,37.5637821,127.1764433
2555,서울특별시 강동구 아리수로98길 25,37.5647396,127.1788562
2557,서울특별시 강동구 아리수로94길 72,37.5615385,127.1769626
2564,서울특별시 강동구 고덕로97길 29,37.5597477,127.178834
2569,서울특별시 강동구 상일로 152,37.5609818,127.171693
2572,서울특별시 강동구 고덕로 427,37.5593589,127.1729651
2580,서울특별시 강동구 동남로79길 26,37.5589219,127.1551489
2608,서울특별시 강동구 고덕로 333,37.5555874,127.1475975
2681,서울특별시 강동구 고덕로 399,37.5555874,127.1475975
2689,서울특별시 강동구 양재대로 1716,37.5586439,127.1448206
2692,서울특별시 강동구 아리수로50길 50,37.5587739,127.1493139
2749,서울특별시 강동구 고덕로61길 37,37.5563298,127.1522909
2769,서울특별시 강동구 양재대로 1706,37.5578508,127.1459139
2796,서울특별시 강동구 천호대로 1239,37.5375197,127.1490709
2806,서울특별시 강동구 천호대로177길 9,37.5350296,127.1371959
2814,서울특별시 강동구 천호대로 1107,37.535489,127.134836
2819,서울특별시 강동구 천호대로175길 42,37.5368605,127.1367018
2830,서울특별시 강동구 천호대로175길 16,37.5420223,127.1397508
2841,서울특별시 강동구 진황도로 85,37.5603872,127.1530475
2864,서울특별시 강동구 진황도로 99,37.536047,127.1374603
2872,서울특별시 강동구 천호대로177길 40,37.5362213,127.1380104
2876,서울특별시 강동구 명일로26길 5,37.5429369,127.1479456
2877,서울특별시 강동구 천중로38가길 53,37.5381493,127.1367379
2878,서울특별시 강동구 진황도로 123,37.5347433,127.139943
2881,서울특별시 강동구 천중로44길 75,37.537615,127.1393318
2882,서울특별시 강동구 천호대로187길 53-15,37.5367634,127.1420414
2883,서울특별시 강동구 천호대로193길 26,37.5361701,127.1449732
2884,서울특별시 강동구 천호대로193길 37,37.5373062,127.1439565
2914,서울특별시 강동구 성안로 182,37.5389984,127.1365369
2915,서울특별시 강동구 천중로40길 12,37.5403665,127.1384289
2916,서울특별시 강동구 천중로48길 8,37.5404165,127.1415854
2917,서울특별시 강동구 천중로42길 69,37.5431585,127.1395428
2930,서울특별시 강동구 천호대로175길 14,37.5352439,127.1370565
2933,서울특별시 강동구 양재대로126길 49,37.543532,127.1452614
2934,서울특별시 강동구 천중로 200,37.5431512,127.1344386
2938,서울특별시 강동구 천중로42길 68,37.5381106,127.1383496
2941,서울특별시 강동구 천중로44길 74,37.5378773,127.1389747
2942,서울특별시 강동구 천중로 221,37.5410166,127.1446926
2944,서울특별시 강동구 천호대로197길 70,37.5389581,127.1476163
2945,서울특별시 강동구 양재대로124길 32,37.5425714,127.1436395
2948,서울특별시 강동구 천중로38가길 32,37.5391663,127.1368291
2949,서울특별시 강동구 천중로50길 48-12,37.5389619,127.1417922
2953,서울특별시 강동구 천중로44길 82,37.5374395,127.1388699
2954,서울특별시 강동구 천호대로199길 40,37.5381933,127.148631
2958,서울특별시 강동구 명일로 293,37.5448048,127.1472114
2959,서울특별시 강동구 명일로 286,37.5433988,127.1485231
2973,서울특별시 강동구 천중로 264,37.5396021,127.1494478
2976,서울특별시 강동구 명일로 260,37.5411617,127.1474294
2980,서울특별시 강동구 성안로 192,37.5399184,127.1367876
2981,서울특별시 강동구 천호대로177길 55,37.5369661,127.1379611
2985,서울특별시 강동구 천중로48길 27,37.5396508,127.1416066
2986,서울특별시 강동구 성안로 172,37.5382045,127.1361545
2989,서울특별시 강동구 성안로 170,37.5380019,127.1360505
2994,서울특별시 강동구 천호대로191길 27,37.5354396,127.1431462
2995,서울특별시 강동구 진황도로49길 59,37.5352762,127.1430972
2996,서울특별시 강동구 양재대로113길 53,37.5384892,127.136898
2999,서울특별시 강동구 천중로49길 11,37.5414906,127.1427103
